,sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score
9,sector 43,house,independent,7.85,29074.0,2700.01,Plot area 300(250.84 sq.m.),9,9,3+,3.0,West,Relatively new property,,2700.0,,1,1,1,1,0,2,49
10,sector 45,house,independent,8.5,26235.0,3239.95,Plot area 360(301.01 sq.m.),5,4,2,1.0,North-East,Moderately New Property,,3240.0,,1,0,0,1,0,0,49
13,sector 54,flat,dlf park place,6.75,24963.0,2704.0,Super Built up area 2704(251.21 sq.m.)Carpet area: 1534 sq.ft. (142.51 sq.m.),4,4,2,8.0,North,Moderately New Property,2704.0,,1534.0,1,0,0,0,0,2,135
19,sector 25,house,independent,16.0,59259.0,2700.01,Plot area 350(292.64 sq.m.)Built Up area: 325 sq.yards (271.74 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),16,16,3+,4.0,West,New Property,,325.0,300.0,1,1,0,1,1,0,72
20,sector 4,house,independent,0.58,86567.0,67.0,Plot area 67(6.22 sq.m.),2,2,1,2.0,West,Moderately New Property,,67.0,,0,0,1,1,0,1,7
21,sector 52,house,ardee city,5.5,183333.0,300.0,Plot area 300(27.87 sq.m.),9,9,3+,3.0,South,Moderately New Property,,300.0,,1,0,1,1,0,0,26
23,sector 109,house,international city by sobha phase 2,12.5,26667.0,4687.44,Plot area 500(418.06 sq.m.),5,6,3,3.0,East,Relatively new property,,4500.0,,1,1,0,1,1,1,63
33,sector 41,house,independent,11.0,33951.0,3239.96,Plot area 360(301.01 sq.m.),4,4,2,3.0,East,New Property,,3240.0,,1,1,0,1,0,1,35
46,sector 109,house,international city by sobha phase 2,10.0,27778.0,3599.97,Plot area 400(334.45 sq.m.),4,5,3+,2.0,East,New Property,,3600.0,,1,1,1,1,0,0,49
55,sector 49,house,uppal southend,6.75,32328.0,2087.97,Plot area 232(193.98 sq.m.),12,12,3+,3.0,North,Moderately New Property,,2088.0,,1,1,1,1,0,0,49
56,sector 43,house,independent,14.0,39886.0,3510.0,Plot area 390(326.09 sq.m.),9,9,3+,4.0,North,Moderately New Property,,3510.0,,1,0,0,0,0,1,7
57,sector 55,house,independent,3.55,24500.0,1448.98,Plot area 161(134.62 sq.m.),4,4,3+,2.0,Na,Old Property,,1449.0,,0,0,0,0,0,0,27
59,sector 48,house,vipul tatvam villa,8.2,25309.0,3239.95,Plot area 360(301.01 sq.m.),3,3,2,2.0,North,Moderately New Property,,3240.0,,1,1,0,1,0,2,160
63,sector 4,house,not applicable,0.8,54794.0,146.0,Plot area 146(13.56 sq.m.),5,4,3,3.0,Na,Under Construction,,146.0,,0,0,0,0,0,1,0
64,sector 55,house,independent,1.45,241666.0,60.0,Plot area 60(5.57 sq.m.),4,4,3+,4.0,East,Relatively new property,,60.0,,0,0,0,0,1,1,70
65,sector 50,house,unitech nirvana birch court,7.1,283333.0,250.59,Plot area 240(22.3 sq.m.),3,3,3,1.0,East,Moderately New Property,,240.0,,1,0,0,0,0,1,49
70,sector 66,house,emaar mgf marbella,12.0,38095.0,3150.02,Plot area 350(292.64 sq.m.),5,6,3+,3.0,North-East,Relatively new property,,3150.0,,1,0,0,0,1,0,153
71,sector 50,house,unitech escape,12.0,37037.0,3240.0,Carpet area: 360 (301.01 sq.m.),5,6,3+,3.0,East,Undefined,,,360.0,0,0,0,0,0,1,66
88,sector 56,house,independent,4.0,26613.0,1503.02,Plot area 167(139.63 sq.m.),4,4,3+,2.0,Na,Relatively new property,,1503.0,,0,0,0,0,0,0,24
117,sector 26,house,independent,20.0,44444.0,4500.05,Plot area 500(418.06 sq.m.),5,7,3+,3.0,West,Relatively new property,,4500.0,,1,0,0,1,0,2,97
123,sector 43,flat,dlf the grove,6.0,25000.0,2400.0,Carpet area: 2400 (222.97 sq.m.),4,4,2,1.0,South-West,Under Construction,,,2400.0,1,0,0,0,0,0,49
125,sector 4,house,independent,0.67,88157.0,76.0,Plot area 76(7.06 sq.m.),3,3,2,2.0,South,Relatively new property,,76.0,,0,0,1,0,0,1,7
132,sector 26,house,independent,4.5,33333.0,1350.01,Plot area 150(125.42 sq.m.),5,5,3+,2.0,Na,Old Property,,1350.0,,0,0,0,0,0,1,7
133,sector 50,house,unitech aspen greens,12.0,37037.0,3240.0,Plot area 360(301.01 sq.m.),3,4,2,1.0,East,Moderately New Property,,3240.0,,1,1,0,0,0,0,101
152,sector 66,house,emaar mgf marbella,8.7,38667.0,2249.98,Plot area 250(209.03 sq.m.)Built Up area: 267 sq.yards (223.25 sq.m.),4,5,2,3.0,East,New Property,,267.0,,1,1,0,0,0,1,144
163,sector 43,house,independent,15.5,28233.0,5490.03,Plot area 610(510.04 sq.m.),5,6,3,3.0,East,Moderately New Property,,5490.0,,1,1,0,1,1,1,76
164,sector 26,house,dlf city plots,18.0,39841.0,4517.96,Plot area 502(419.74 sq.m.),6,6,2,3.0,North,Old Property,,4518.0,,1,0,1,1,0,0,49
175,sector 25,house,dlf city plots phase 2,7.5,31686.0,2366.98,Plot area 215(179.77 sq.m.),9,9,3+,4.0,West,Relatively new property,,2300.5,,1,1,0,1,0,0,160
186,sector 70a,house,independent,2.1,35000.0,600.0,Carpet area: 600 (55.74 sq.m.),3,2,1,3.0,Na,New Property,,,600.0,0,0,0,0,0,1,0
198,sector 54,house,suncity township,25.0,31111.0,8035.74,Plot area 1000(836.13 sq.m.),4,4,3+,2.0,North,Moderately New Property,,1000.0,,1,1,0,1,1,1,0
215,sector 2,house,independent,19.5,27083.0,7200.09,Plot area 800(668.9 sq.m.),8,9,3+,2.0,North,New Property,,7200.0,,1,1,0,1,0,1,122
